0 0 0 0 0 0
0 1 0 0 0 0
0 2 0 0 0 0
0 3 0 0 0 0
0 4 0 0 0 0
0 5 0 0 0 0
0 6 0 0 0 0
0 7 0 0 0 0
0 8 0 0 0 0
0 9 0 0 0 0
0.006 0 0.0027411 -0.000983107 0.649181 -0.754088
0.006 1 -0.00148893 0.00122622 -0.415936 -0.910149
0.006 2 0.00422071 0.000444084 0.34255 0.172882
0.006 3 -0.00379818 -0.00261324 -1.72625 -0.593304
0.006 4 4.86379e-05 -0.00288161 0.440336 -0.342228
0.006 5 -0.000444317 -0.00339818 0.206416 -1.09558
0.006 6 0.00768482 -0.000420725 1.96258 -0.187358
0.006 7 0.000930938 -0.00528698 -0.0888321 -1.91988
0.006 8 0.00712359 -0.00148623 1.42278 -1.74728
0.006 9 0.0030596 0.00102476 0.706305 0.708212
0.012 0 0.00803771 -0.00183917 0.15367 0.703355
0.012 1 -0.00504685 -0.00488328 -0.0913731 -1.90643
0.012 2 0.00852519 0.00204881 0.280661 0.624941
0.012 3 -0.0152256 -0.00277547 -1.74646 -0.341599
0.012 4 0.00479948 0.00134028 0.852883 1.07521
0.012 5 0.00228104 -0.0049188 0.786556 -0.0413195
0.012 6 0.0213929 5.84618e-06 1.06467 -0.717296
0.012 7 0.00162417 -0.0152517 0.332936 -1.41454
0.012 8 0.0197259 -0.0172261 2.27617 -2.59358
0.012 9 0.00685702 0.0075537 0.677252 1.56615
0.018 0 0.00837695 0.00280552 -0.877547 0.844026
0.018 1 -0.00542554 -0.0157594 0.16397 -2.29196
0.018 2 0.00749783 0.00649826 -0.258796 1.0976
0.018 3 -0.0233068 -0.00389542 -0.761444 0.169987
0.018 4 0.0113725 0.00381527 0.626736 -0.0711274
0.018 5 -0.000728515 -0.00606776 -1.75921 -0.50489
0.018 6 0.0261707 -0.00566423 0.675202 -0.892736
0.018 7 0.000563362 -0.024387 -0.613919 -1.05775
0.018 8 0.037583 -0.0330289 3.62217 -2.29235
0.018 9 0.00839674 0.0167322 -0.0636819 1.86665
0.024 0 0.00209874 0.00709421 -1.38025 0.784248
0.024 1 -0.00692329 -0.0248128 -0.231595 -0.247168
0.024 2 0.00491281 0.0139315 -0.569588 1.31002
0.024 3 -0.0270498 -0.0083854 0.475992 -0.238502
0.024 4 0.0209394 0.00398494 2.16114 -0.65753
0.024 5 -0.00768872 -0.00863683 -0.163314 -0.565808
0.024 6 0.0324514 -0.00988752 1.15434 -0.648971
0.024 7 0.000298633 -0.0358261 0.68865 -1.89871
0.024 8 0.0549239 -0.0422549 2.15985 -0.441548
0.024 9 0.00623289 0.0257575 -0.670386 1.8301
0.03 0 -0.00327246 0.0124751 0.135322 1.2272
0.03 1 -0.0100103 -0.029258 -0.0302242 -0.519783
0.03 2 -0.00183823 0.0226882 -1.65227 1.64392
0.03 3 -0.0263479 -0.00877232 -0.228561 0.805955
0.03 4 0.0326182 -0.00055967 1.25668 -1.43952
0.03 5 -0.0120187 -0.0123987 -1.28081 -0.331427
0.03 6 0.0410291 -0.0131388 1.72039 -0.457029
0.03 7 0.0056496 -0.0519959 0.574196 -3.27015
0.03 8 0.0674567 -0.0479059 2.19379 -0.973417
0.03 9 0.00433714 0.0313514 0.0973066 0.337758
0.036 0 -0.00233319 0.0176842 -0.286072 0.231039
0.036 1 -0.0134922 -0.0334671 -0.459147 -0.122715
0.036 2 -0.0120621 0.0291635 -1.39133 1.56186
0.036 3 -0.022538 -0.00459514 0.477371 0.952584
0.036 4 0.0344137 -0.00977677 -0.566796 -1.07678
0.036 5 -0.0216138 -0.0143788 -2.15509 -0.239288
0.036 6 0.0430147 -0.0124744 -0.864755 0.41185
0.036 7 0.00467456 -0.0671461 -0.236713 -2.67264
0.036 8 0.0818447 -0.0499235 2.06377 -0.0560037
0.036 9 0.00586879 0.0338473 0.473123 0.64663
0.042 0 -0.00362168 0.0168821 -1.42406 -0.0855644
0.042 1 -0.0149716 -0.0332743 0.0358944 0.0538897
0.042 2 -0.0139263 0.0417458 -0.274259 2.2483
0.042 3 -0.0209176 0.00568553 0.306049 2.55081
0.042 4 0.0289646 -0.0130896 -1.83917 -0.711341
0.042 5 -0.0343569 -0.0139789 -2.08961 0.217757
0.042 6 0.036736 -0.00713608 -0.79003 1.61727
0.042 7 0.0062668 -0.0842797 0.452518 -3.07024
0.042 8 0.095783 -0.0503632 2.76605 -0.183716
0.042 9 0.00810267 0.0396553 0.303786 1.31066
0.048 0 -0.00845362 0.0182235 -1.28293 0.46275
0.048 1 -0.0180899 -0.0356021 -0.956379 0.202331
0.048 2 -0.0167675 0.0516987 -0.422225 1.28623
0.048 3 -0.0147107 0.0160469 1.13652 1.42261
0.048 4 0.0191163 -0.0142798 -0.966659 -0.613982
0.048 5 -0.0499499 -0.0088367 -2.82502 1.17369
0.048 6 0.0316991 0.000343187 -0.520163 0.992607
0.048 7 0.00731992 -0.100553 -0.782469 -3.24297
