0 0 0 0 0 0
0 1 0 0 0 0
0 2 0 0 0 0
0 3 0 0 0 0
0 4 0 0 0 0
0 5 0 0 0 0
0 6 0 0 0 0
0 7 0 0 0 0
0 8 0 0 0 0
0 9 0 0 0 0
0.006 0 -0.00157531 0.00529954 0.192502 0.309505
0.006 1 0.00317161 0.001845 0.76235 0.234431
0.006 2 -0.00218278 -0.00365436 -1.00187 -1.43395
0.006 3 -0.00324417 0.00516281 -1.52285 0.686924
0.006 4 -0.00205649 -0.000658385 0.124479 -0.272979
0.006 5 0.000738541 0.00434412 -1.00308 1.0678
0.006 6 0.000915168 0.00336503 0.367591 1.35646
0.006 7 -0.00101577 -0.00121887 -0.405956 -0.852022
0.006 8 0.0012461 -0.00598411 -0.407157 -1.84038
0.006 9 -8.30282e-05 0.00137661 -0.0812078 0.0633797
0.012 0 -0.000610868 0.00143906 -0.0433513 -1.1346
0.012 1 0.00571195 0.00306119 -0.581892 0.0195358
0.012 2 -0.00838792 -0.00861786 -1.04196 -0.442245
0.012 3 -0.00621547 0.0130477 0.207526 2.06903
0.012 4 -0.00631352 0.00070327 -1.40413 0.815195
0.012 5 -0.00799592 0.0107422 -1.84139 0.884516
0.012 6 0.00347164 0.00840569 0.855275 0.961913
0.012 7 -0.00277684 -0.00980026 -0.763698 -2.37214
0.012 8 0.0021428 -0.0174596 0.726275 -1.27312
0.012 9 0.00119997 0.00479587 0.21771 1.06701
0.018 0 -0.00594616 -0.00397106 -1.51808 -0.369292
0.018 1 0.00309156 0.00165964 0.257523 0.363308
0.018 2 -0.0151824 -0.00754175 -0.740287 0.459988
0.018 3 -0.00679259 0.0278843 0.102825 3.01239
0.018 4 -0.0157658 0.00458442 -2.19955 0.44318
0.018 5 -0.0220007 0.0144372 -2.39115 1.02742
0.018 6 0.0100147 0.0130058 0.805631 0.416363
0.018 7 -0.00359391 -0.0164775 0.543025 -0.432971
0.018 8 0.00403389 -0.0234849 0.58524 -0.125982
0.018 9 0.00155152 0.012658 0.0768493 1.44854
0.024 0 -0.0111898 -0.00802385 -0.167063 0.106237
0.024 1 0.00506211 0.0079465 0.637106 0.915928
0.024 2 -0.0167748 -0.00136013 -0.493476 1.03366
0.024 3 -0.00933363 0.052739 -0.429191 3.9593
0.024 4 -0.0312337 0.00863226 -3.26985 1.00502
0.024 5 -0.0369632 0.0204149 -2.25178 0.873419
0.024 6 0.0164198 0.0144586 0.650743 -0.577723
0.024 7 -0.000931509 -0.0172122 0.847447 -0.161671
0.024 8 0.00909558 -0.0210424 0.592048 0.10116
0.024 9 0.000670327 0.0227842 0.0488992 1.89001
0.03 0 -0.00848665 -0.00739652 1.0487 0.511743
0.03 1 0.00693277 0.00924895 0.415315 0.0871672
0.03 2 -0.0200121 0.00369521 -1.01488 1.64021
0.03 3 -0.0119912 0.0752901 -0.197092 2.80565
0.03 4 -0.0503616 0.016182 -3.10099 0.96703
0.03 5 -0.0487622 0.0254092 -1.39687 0.325227
0.03 6 0.0234058 0.0103505 0.87424 0.0434191
0.03 7 0.00439202 -0.0191502 0.195702 -0.277318
0.03 8 0.0134685 -0.0216178 0.985049 0.254364
0.03 9 0.000710374 0.0367594 0.00917278 2.68355
0.036 0 -0.00101792 -0.00656666 1.06769 0.226359
0.036 1 0.00602972 0.00935076 -0.865428 0.537027
0.036 2 -0.0264575 0.012753 -0.2939 1.952
0.036 3 -0.0145764 0.0911776 -0.604375 2.7821
0.036 4 -0.0644869 0.0201636 -2.80753 0.289163
0.036 5 -0.0560451 0.0287387 -1.28974 0.719526
0.036 6 0.0264889 0.00817872 0.0585568 -0.739977
0.036 7 0.00881129 -0.0190712 0.478109 0.733905
0.036 8 0.0151086 -0.0250899 -0.127012 -0.55941
0.036 9 0.00252201 0.0548404 0.247412 2.62762
0.042 0 0.00392113 -0.00872545 0.976565 -0.401257
0.042 1 0.000799376 0.0128672 -1.00385 1.26136
0.042 2 -0.0327638 0.0252697 -1.01701 2.41346
0.042 3 -0.0171877 0.108188 -0.856683 2.78977
0.042 4 -0.0809439 0.0260767 -3.06562 1.04557
0.042 5 -0.0640714 0.035723 -1.4512 1.7214
0.042 6 0.0280566 0.000799176 -0.0445277 -0.917661
0.042 7 0.0108291 -0.0154219 0.401462 0.693079
0.042 8 0.0138774 -0.0270093 -0.0981678 0.224849
0.042 9 0.00320176 0.0683005 0.0416284 2.39347
0.048 0 0.009866 -0.00916198 0.844895 -0.418275
0.048 1 0.00133505 0.02253 0.200779 2.11633
0.048 2 -0.0389512 0.0395278 -1.83434 2.54765
0.048 3 -0.020468 0.125782 -1.23041 3.40674
0.048 4 -0.104785 0.0353475 -4.28646 1.40454
0.048 5 -0.0764396 0.0497211 -1.95311 2.74578
0.048 6 0.0253593 -0.00621161 -0.570223 -1.88893
0.048 7 0.0105032 -0.0119258 0.111257 0.282402
0.048 8 0.013719 -0.0300101 0.346526 -0.577176
0.048 9 0.00567945 0.0832467 0.625303 2.74763
